Gene1	Gene2	detectionMethod	intraspeciesInteraction
PFKM	PFKL	affinity chrom	Homo sapiens
PFKL	PFKM	affinity chrom	Homo sapiens
SLC9A6	SLC9A7	anti tag coip	Homo sapiens
SLC9A6	SLC9A7	anti tag coip	Homo sapiens
SLC9A6	SLC9A7	anti tag coip	Homo sapiens
SLC9A6	SLC9A7	anti tag coip	Homo sapiens
RCBTB2	RCBTB1	anti tag coip	Homo sapiens
RCBTB2	RCBTB1	anti tag coip	Homo sapiens
DPYSL3	CRMP1	anti tag coip	Homo sapiens
CRMP1	DPYSL3	two hybrid prey pooling approach	Homo sapiens
CRMP1	DPYSL3	validated two hybrid	Homo sapiens
CRMP1	DPYSL3	two hybrid array	Homo sapiens
DPYSL3	CRMP1	two hybrid prey pooling approach	Homo sapiens
CRMP1	DPYSL3	validated two hybrid	Homo sapiens
DPYSL3	CRMP1	two hybrid array	Homo sapiens
DPYSL3	CRMP1	anti tag coip	Homo sapiens
DPYSL3	CRMP1	anti tag coip	Homo sapiens
PPM1A	PPM1B	anti tag coip	Homo sapiens
PPM1A	PPM1B	anti tag coip	Homo sapiens
EHD4	EHD2	pull down	Homo sapiens
EHD2	EHD4	anti tag coip	Homo sapiens
PTBP3	PTBP2	anti bait coip	Homo sapiens
NCK2	NCK1	anti tag coip	Homo sapiens
TARS1	TARS3	two hybrid prey pooling approach	Homo sapiens
TARS3	TARS1	validated two hybrid	Homo sapiens
TARS1	TARS3	two hybrid array	Homo sapiens
TARS3	TARS1	validated two hybrid	Homo sapiens
TARS1	TARS3	two hybrid prey pooling approach	Homo sapiens
TARS1	TARS3	two hybrid array	Homo sapiens
TPM4	TPM2	anti tag coip	Homo sapiens
TPM4	TPM2	anti tag coip	Homo sapiens
DPYSL3	DPYSL2	validated two hybrid	Homo sapiens
DPYSL2	DPYSL3	two hybrid prey pooling approach	Homo sapiens
DPYSL3	DPYSL2	two hybrid array	Homo sapiens
DPYSL3	DPYSL2	anti tag coip	Homo sapiens
DPYSL3	DPYSL2	two hybrid prey pooling approach	Homo sapiens
DPYSL3	DPYSL2	validated two hybrid	Homo sapiens
DPYSL3	DPYSL2	two hybrid array	Homo sapiens
DPYSL3	DPYSL2	two hybrid array	Homo sapiens
DPYSL3	DPYSL2	validated two hybrid	Homo sapiens
DPYSL3	DPYSL2	validated two hybrid	Homo sapiens
DPYSL3	DPYSL2	mappit	Homo sapiens
DPYSL3	DPYSL2	two hybrid prey pooling approach	Homo sapiens
DPYSL2	DPYSL3	two hybrid prey pooling approach	Homo sapiens
DPYSL2	DPYSL3	two hybrid array	Homo sapiens
FMNL3	FMNL2	anti tag coip	Homo sapiens
TLE4	TLE2	anti tag coip	Homo sapiens
TLE2	TLE4	tap	Homo sapiens
TLE4	TLE2	anti tag coip	Homo sapiens
TLE2	TLE4	anti tag coip	Homo sapiens
TLE2	TLE1	tap	Homo sapiens
MACROH2A2	MACROH2A1	anti tag coip	Homo sapiens
MACROH2A2	MACROH2A1	anti tag coip	Homo sapiens
MACROH2A2	MACROH2A1	anti tag coip	Homo sapiens
SEPTIN10	SEPTIN8	anti tag coip	Homo sapiens
SEPTIN8	SEPTIN10	anti tag coip	Homo sapiens
SEPTIN10	SEPTIN8	anti tag coip	Homo sapiens
SEPTIN10	SEPTIN8	anti tag coip	Homo sapiens
RBMS2	RBMS1	anti tag coip	Homo sapiens
GSTM2	GSTM3	anti tag coip	Homo sapiens
GSTM2	GSTM3	anti tag coip	Homo sapiens
GSTM3	GSTM2	anti tag coip	Homo sapiens
GSTM2	GSTM3	anti tag coip	Homo sapiens
HLA-C	HLA-F	anti tag coip	Homo sapiens
MTMR2	MTMR1	anti tag coip	Homo sapiens
MTMR1	MTMR2	anti tag coip	Homo sapiens
MTMR2	MTMR1	anti tag coip	Homo sapiens
TLE3	TLE2	anti tag coip	Homo sapiens
TLE2	TLE3	tap	Homo sapiens
TLE3	TLE2	anti tag coip	Homo sapiens
TLE2	TLE3	anti tag coip	Homo sapiens
CRMP1	DPYSL2	two hybrid array	Homo sapiens
CRMP1	DPYSL2	2 hybrid	Homo sapiens
CRMP1	DPYSL2	two hybrid array	Homo sapiens
CRMP1	DPYSL2	validated two hybrid	Homo sapiens
DPYSL2	CRMP1	two hybrid prey pooling approach	Homo sapiens
DPYSL2	CRMP1	two hybrid array	Homo sapiens
VDAC1	VDAC3	crosslink	Homo sapiens
VDAC1	VDAC3	crosslink	Homo sapiens
CTDSP1	CTDSPL	anti tag coip	Homo sapiens
PFKL	PFKP	anti tag coip	Homo sapiens
PFKL	PFKP	anti tag coip	Homo sapiens
SERPINB6	SERPINB8	anti tag coip	Homo sapiens
SERPINB6	SERPINB8	anti tag coip	Homo sapiens
PFKFB3	PFKFB2	anti tag coip	Homo sapiens
PFKFB3	PFKFB2	anti tag coip	Homo sapiens
RPRD1B	RPRD1A	tap	Homo sapiens
RPRD1B	RPRD1A	anti tag coip	Homo sapiens
RPRD1A	RPRD1B	validated two hybrid	Homo sapiens
RPRD1B	RPRD1A	two hybrid array	Homo sapiens
RPRD1B	RPRD1A	two hybrid prey pooling approach	Homo sapiens
KATNAL1	KATNA1	tap	Homo sapiens
KATNA1	KATNAL1	tap	Homo sapiens
MAP4K3	MAP4K5	anti tag coip	Homo sapiens
MAP4K3	MAP4K5	pull down	Homo sapiens
MAP4K3	MAP4K5	anti tag coip	Homo sapiens
BTBD3	BTBD6	two hybrid prey pooling approach	Homo sapiens
BTBD6	BTBD3	validated two hybrid	Homo sapiens
BTBD3	BTBD6	two hybrid array	Homo sapiens
KLC1	KLC4	anti tag coip	Homo sapiens
KLC1	KLC4	anti tag coip	Homo sapiens
KLC1	KLC4	anti tag coip	Homo sapiens
PTPRS	PTPRF	proximity-dependent biotin identification	Homo sapiens
KLC1	KLC2	anti tag coip	Homo sapiens
PRKAR2B	PRKAR2A	anti tag coip	Homo sapiens
PDK3	PDK2	anti tag coip	Homo sapiens
PDK2	PDK3	pull down	Homo sapiens
PDK3	PDK2	anti tag coip	Homo sapiens
ALDH2	ALDH1A1	two hybrid array	Homo sapiens
ALDH1A1	ALDH2	2 hybrid	Homo sapiens
MKNK1	MKNK2	pull down	Homo sapiens
MAPKAPK3	MAPKAPK2	pull down	Homo sapiens
MAPKAPK2	MAPKAPK3	anti tag coip	Homo sapiens
MAPKAPK2	MAPKAPK3	anti tag coip	Homo sapiens
BTN3A2	BTN3A1	anti tag coip	Homo sapiens
BTN3A2	BTN3A1	anti tag coip	Homo sapiens
BTN3A2	BTN3A1	anti tag coip	Homo sapiens
BTN3A2	BTN3A1	confocal microscopy	Homo sapiens
BTN3A2	BTN3A1	anti tag coip	Homo sapiens
BTN3A2	BTN3A1	anti tag coip	Homo sapiens
DOCK7	DOCK6	anti tag coip	Homo sapiens
DOCK7	DOCK6	anti tag coip	Homo sapiens
KCTD13	KCTD10	validated two hybrid	Homo sapiens
KCTD10	KCTD13	two hybrid prey pooling approach	Homo sapiens
KCTD10	KCTD13	two hybrid array	Homo sapiens
KCTD13	KCTD10	anti tag coip	Homo sapiens
KCTD13	KCTD10	anti tag coip	Homo sapiens
KCTD13	KCTD10	anti tag coip	Homo sapiens
HPRT1	PRTFDC1	anti tag coip	Homo sapiens
HPRT1	PRTFDC1	two hybrid bait and prey pooling approach	Homo sapiens
HPRT1	PRTFDC1	two hybrid array	Homo sapiens
HPRT1	PRTFDC1	validated two hybrid	Homo sapiens
PRTFDC1	HPRT1	two hybrid array	Homo sapiens
PRTFDC1	HPRT1	validated two hybrid	Homo sapiens
HPRT1	PRTFDC1	two hybrid prey pooling approach	Homo sapiens
HPRT1	PRTFDC1	two hybrid array	Homo sapiens
HPRT1	PRTFDC1	validated two hybrid	Homo sapiens
HPRT1	PRTFDC1	two hybrid prey pooling approach	Homo sapiens
PRTFDC1	HPRT1	two hybrid array	Homo sapiens
HPRT1	PRTFDC1	anti tag coip	Homo sapiens
HPRT1	PRTFDC1	two hybrid pooling	Homo sapiens
RAB8B	RAB13	anti tag coip	Homo sapiens
RAB8B	RAB13	anti tag coip	Homo sapiens
G3BP2	G3BP1	anti tag coip	Homo sapiens
G3BP1	G3BP2	tap	Homo sapiens
MARK2	MARK3	anti tag coip	Homo sapiens
MAP3K2	MAP3K3	anti tag coip	Homo sapiens
MAP3K3	MAP3K2	tap	Homo sapiens
MAPRE1	MAPRE3	anti tag coip	Homo sapiens
MAPRE1	MAPRE3	bret	Homo sapiens
MAPRE1	MAPRE3	bret	Homo sapiens
CDK18	CDK17	anti tag coip	Homo sapiens
CDK18	CDK17	anti tag coip	Homo sapiens
PFKFB3	PFKFB4	anti tag coip	Homo sapiens
PFKFB3	PFKFB4	anti tag coip	Homo sapiens
TOR1A	TOR1B	anti tag coip	Homo sapiens
TRIM2	TRIM3	anti tag coip	Homo sapiens
TRIM3	TRIM2	validated two hybrid	Homo sapiens
TRIM2	TRIM3	two hybrid prey pooling approach	Homo sapiens
TRIM2	TRIM3	two hybrid array	Homo sapiens
ANKRD44	ANKRD28	anti tag coip	Homo sapiens
ANKRD28	ANKRD44	proximity-dependent biotin identification	Homo sapiens
SMARCD1	SMARCD2	anti tag coip	Homo sapiens
ITPR3	ITPR2	anti tag coip	Homo sapiens
TCEA1	TCEA2	anti tag coip	Homo sapiens
CORO1A	CORO1B	anti tag coip	Homo sapiens
TNIK	MINK1	pull down	Homo sapiens
NAP1L4	NAP1L1	tap	Homo sapiens
NAP1L1	NAP1L4	anti tag coip	Homo sapiens
PFKFB4	PFKFB2	anti tag coip	Homo sapiens
ROCK2	ROCK1	anti tag coip	Homo sapiens
PMM1	PMM2	anti tag coip	Homo sapiens
PMM1	PMM2	anti tag coip	Homo sapiens
PMM1	PMM2	anti tag coip	Homo sapiens
AGAP1	AGAP3	anti tag coip	Homo sapiens
AGAP3	AGAP1	anti tag coip	Homo sapiens
MBNL1	MBNL2	anti tag coip	Homo sapiens
PRKD2	PRKD3	anti tag coip	Homo sapiens
PRKD3	PRKD2	pull down	Homo sapiens
PRKD2	PRKD3	pull down	Homo sapiens
PRKD2	PRKD3	anti tag coip	Homo sapiens
PRKD3	PRKD2	anti tag coip	Homo sapiens
MAPK12	MAPK13	anti tag coip	Homo sapiens
MAPK12	MAPK13	pull down	Homo sapiens
MAPK12	MAPK13	anti tag coip	Homo sapiens
MAPK12	MAPK13	anti tag coip	Homo sapiens
DOCK5	DOCK1	anti tag coip	Homo sapiens
DOCK1	DOCK5	anti tag coip	Homo sapiens
DOCK5	DOCK1	anti tag coip	Homo sapiens
SAP30	SAP30L	anti tag coip	Homo sapiens
TEAD2	TEAD1	anti tag coip	Homo sapiens
RAPGEF6	RAPGEF2	anti tag coip	Homo sapiens
RABGAP1	RABGAP1L	anti tag coip	Homo sapiens
RABGAP1	RABGAP1L	anti tag coip	Homo sapiens
RABGAP1	RABGAP1L	anti tag coip	Homo sapiens
GNA13	GNA12	anti tag coip	Homo sapiens
GSTO2	GSTO1	anti tag coip	Homo sapiens
RANBP9	RANBP10	socioaffinity inference	Homo sapiens
RANBP10	RANBP9	tap	Homo sapiens
RANBP9	RANBP10	tap	Homo sapiens
TPST2	TPST1	anti tag coip	Homo sapiens
TPST2	TPST1	anti tag coip	Homo sapiens
BMI1	PCGF2	cosedimentation	Homo sapiens
BMI1	PCGF2	molecular sieving	Homo sapiens
PCGF2	BMI1	anti tag coip	Homo sapiens
STRN3	STRN	proximity-dependent biotin identification	Homo sapiens
STRN	STRN3	anti tag coip	Homo sapiens
STRN3	STRN	anti tag coip	Homo sapiens
STRN	STRN3	anti tag coip	Homo sapiens
STRN3	STRN	anti tag coip	Homo sapiens
STRN3	STRN	anti tag coip	Homo sapiens
STRN3	STRN	anti tag coip	Homo sapiens
STRN	STRN3	anti tag coip	Homo sapiens
STRN	STRN3	anti bait coip	Homo sapiens
STRN3	STRN	anti bait coip	Homo sapiens
STRN	STRN3	anti tag coip	Homo sapiens
STRN	STRN3	anti tag coip	Homo sapiens
STRN	STRN3	anti tag coip	Homo sapiens
CORO1A	CORO1C	anti tag coip	Homo sapiens
HLA-E	HLA-F	anti tag coip	Homo sapiens
HLA-F	HLA-E	anti bait coip	Homo sapiens
HLA-F	HLA-E	spr	Homo sapiens
HLA-E	HLA-F	anti tag coip	Homo sapiens
CNN2	CNN3	anti tag coip	Homo sapiens
CNN2	CNN3	anti tag coip	Homo sapiens
CNN2	CNN3	anti tag coip	Homo sapiens
SLC25A25	SLC25A23	anti tag coip	Homo sapiens
SLC25A25	SLC25A23	anti tag coip	Homo sapiens
SLC25A25	SLC25A23	anti tag coip	Homo sapiens
MTHFD2	MTHFD2L	anti tag coip	Homo sapiens
MTHFD2	MTHFD2L	anti tag coip	Homo sapiens
MTHFD2L	MTHFD2	anti tag coip	Homo sapiens
TBC1D9	TBC1D9B	anti tag coip	Homo sapiens
TBC1D9	TBC1D9B	anti tag coip	Homo sapiens
CTDSP2	CTDSPL	anti tag coip	Homo sapiens
PSEN1	PSEN2	two hybrid array	Homo sapiens
STX2	STX1A	validated two hybrid	Homo sapiens
PIP4K2A	PIP4K2C	anti tag coip	Homo sapiens
NME3	NME1	anti tag coip	Homo sapiens
ATP11A	ATP11C	anti tag coip	Homo sapiens
FERMT1	FERMT2	anti tag coip	Homo sapiens
FERMT1	FERMT2	anti tag coip	Homo sapiens
PTPRA	PTPRE	anti tag coip	Homo sapiens
PTPRA	PTPRE	pull down	Homo sapiens
PTPRA	PTPRE	anti tag coip	Homo sapiens
PTPRA	PTPRE	anti tag coip	Homo sapiens
CHMP4A	CHMP4B	2 hybrid	Homo sapiens
CHMP4A	CHMP4B	2 hybrid	Homo sapiens
CHMP4A	CHMP4B	validated two hybrid	Homo sapiens
CHMP4B	CHMP4A	2 hybrid	Homo sapiens
CHMP4B	CHMP4A	2 hybrid	Homo sapiens
CHMP4B	CHMP4A	two hybrid prey pooling approach	Homo sapiens
CHMP4B	CHMP4A	two hybrid array	Homo sapiens
NECAP2	NECAP1	anti tag coip	Homo sapiens
NECAP2	NECAP1	anti tag coip	Homo sapiens
CAP1	CAP2	anti tag coip	Homo sapiens
CAP1	CAP2	anti tag coip	Homo sapiens
KIF3B	KIF3C	socioaffinity inference	Homo sapiens
MFN1	MFN2	anti tag coip	Homo sapiens
MFN1	MFN2	anti tag coip	Homo sapiens
MFN1	MFN2	anti tag coip	Homo sapiens
MFN2	MFN1	anti tag coip	Homo sapiens
MFN1	MFN2	anti tag coip	Homo sapiens
KCTD13	TNFAIP1	anti tag coip	Homo sapiens
KCTD13	TNFAIP1	anti tag coip	Homo sapiens
KCTD13	TNFAIP1	two hybrid prey pooling approach	Homo sapiens
TNFAIP1	KCTD13	validated two hybrid	Homo sapiens
KCTD13	TNFAIP1	two hybrid array	Homo sapiens
TNFAIP1	KCTD13	validated two hybrid	Homo sapiens
TNFAIP1	KCTD13	validated two hybrid	Homo sapiens
KCTD13	TNFAIP1	two hybrid prey pooling approach	Homo sapiens
TNFAIP1	KCTD13	two hybrid prey pooling approach	Homo sapiens
TNFAIP1	KCTD13	two hybrid array	Homo sapiens
KCTD13	TNFAIP1	two hybrid array	Homo sapiens
TNFAIP1	KCTD13	anti tag coip	Homo sapiens
KCTD13	TNFAIP1	anti tag coip	Homo sapiens
SAMD4B	SAMD4A	anti tag coip	Homo sapiens
SAMD4B	SAMD4A	anti tag coip	Homo sapiens
FADS3	FADS2	anti tag coip	Homo sapiens
CAPN1	CAPN2	anti tag coip	Homo sapiens
PAFAH1B2	PAFAH1B3	validated two hybrid	Homo sapiens
PAFAH1B2	PAFAH1B3	two hybrid prey pooling approach	Homo sapiens
PAFAH1B2	PAFAH1B3	two hybrid array	Homo sapiens
PAFAH1B3	PAFAH1B2	anti tag coip	Homo sapiens
PAFAH1B2	PAFAH1B3	anti tag coip	Homo sapiens
PAFAH1B2	PAFAH1B3	two hybrid pooling	Homo sapiens
JRKL	TIGD2	anti tag coip	Homo sapiens
MAPK12	MAPK11	pull down	Homo sapiens
CDK16	CDK18	anti tag coip	Homo sapiens
MEF2A	MEF2C	tap	Homo sapiens
MEF2A	MEF2C	tap	Homo sapiens
MEF2A	MEF2C	anti tag coip	Homo sapiens
SH3GLB1	SH3GLB2	anti tag coip	Homo sapiens
SH3GLB1	SH3GLB2	anti tag coip	Homo sapiens
SH3GLB1	SH3GLB2	anti tag coip	Homo sapiens
SH3GLB1	SH3GLB2	2h fragment pooling	Homo sapiens
SH3GLB1	SH3GLB2	validated two hybrid	Homo sapiens
SH3GLB1	SH3GLB2	split luciferase complementation	Homo sapiens
SH3GLB2	SH3GLB1	bfg-2h	Homo sapiens
SH3GLB1	SH3GLB2	bfg-2h	Homo sapiens
SH3GLB1	SH3GLB2	2 hybrid	Homo sapiens
SH3GLB2	SH3GLB1	mappit	Homo sapiens
SH3GLB1	SH3GLB2	two hybrid prey pooling approach	Homo sapiens
SH3GLB1	SH3GLB2	two hybrid array	Homo sapiens
SH3GLB1	SH3GLB2	validated two hybrid	Homo sapiens
SHMT1	SHMT2	anti tag coip	Homo sapiens
SHMT1	SHMT2	anti tag coip	Homo sapiens
SHMT1	SHMT2	anti tag coip	Homo sapiens
SDF2	SDF2L1	anti tag coip	Homo sapiens
STX6	STX10	anti tag coip	Homo sapiens
TEAD4	TEAD2	anti tag coip	Homo sapiens
TEAD4	TEAD2	anti tag coip	Homo sapiens
TBC1D22B	TBC1D22A	anti tag coip	Homo sapiens
TBC1D22B	TBC1D22A	anti tag coip	Homo sapiens
PIK3R3	PIK3R1	anti tag coip	Homo sapiens
EML1	EML2	anti tag coip	Homo sapiens
CDC42BPB	CDC42BPA	2h fragment pooling	Homo sapiens
RNF5	RNF185	validated two hybrid	Homo sapiens
RNF5	RNF185	two hybrid prey pooling approach	Homo sapiens
RNF5	RNF185	two hybrid array	Homo sapiens
ATL2	ATL3	anti tag coip	Homo sapiens
ATL2	ATL3	anti tag coip	Homo sapiens
ATL3	ATL2	anti tag coip	Homo sapiens
ATL3	ATL2	anti tag coip	Homo sapiens
PDE4D	PDE4A	anti tag coip	Homo sapiens
FAM168B	FAM168A	validated two hybrid	Homo sapiens
FAM168A	FAM168B	two hybrid array	Homo sapiens
FAM168A	FAM168B	two hybrid prey pooling approach	Homo sapiens
PRDX4	PRDX2	2 hybrid	Homo sapiens
WWP2	WWP1	anti tag coip	Homo sapiens
MAFG	MAFF	fret	Homo sapiens
MAFF	MAFG	fret	Homo sapiens
USP13	USP5	anti tag coip	Homo sapiens
SMARCC2	SMARCC1	anti tag coip	Homo sapiens
SMARCC1	SMARCC2	tap	Homo sapiens
BRD3	BRD2	anti tag coip	Homo sapiens
NT5DC3	NT5DC2	anti tag coip	Homo sapiens
NT5DC3	NT5DC2	anti tag coip	Homo sapiens
SLC20A1	SLC20A2	anti tag coip	Homo sapiens
SLC20A1	SLC20A2	anti tag coip	Homo sapiens
CTDSP1	CTDSP2	anti tag coip	Homo sapiens
DVL1	DVL2	anti bait coip	Homo sapiens
DVL1	DVL2	anti bait coip	Homo sapiens
NFIB	NFIC	proximity-dependent biotin identification	Homo sapiens
NFIC	NFIB	proximity-dependent biotin identification	Homo sapiens
NFIB	NFIC	affinity chrom	Homo sapiens
NFIC	NFIB	affinity chrom	Homo sapiens
TOP1	TOP1MT	anti tag coip	Homo sapiens
SATB1	SATB2	tap	Homo sapiens
SATB2	SATB1	anti tag coip	Homo sapiens
SATB2	SATB1	anti tag coip	Homo sapiens
P4HA1	P4HA2	crosslink	Homo sapiens
CBX5	CBX3	tap	Homo sapiens
CDK5	CDK3	anti tag coip	Homo sapiens
SRSF6	SRSF4	two hybrid array	Homo sapiens
SRSF6	SRSF4	anti tag coip	Homo sapiens
NFIC	NFIX	proximity-dependent biotin identification	Homo sapiens
NFIX	NFIC	proximity-dependent biotin identification	Homo sapiens
NFIX	NFIC	affinity chrom	Homo sapiens
NFIC	NFIX	affinity chrom	Homo sapiens
SRPK1	SRPK2	density sedimentation	Homo sapiens
SRPK2	SRPK1	density sedimentation	Homo sapiens
PRDX1	PRDX4	2 hybrid	Homo sapiens
NEDD4	NEDD4L	anti tag coip	Homo sapiens
NRBP2	NRBP1	pull down	Homo sapiens
NRBP1	NRBP2	anti tag coip	Homo sapiens
SBF2	SBF1	proximity-dependent biotin identification	Homo sapiens
SBF2	SBF1	anti tag coip	Homo sapiens
RING1	RNF2	tap	Homo sapiens
DPP9	DPP8	anti tag coip	Homo sapiens
DPP8	DPP9	anti tag coip	Homo sapiens
ACAP2	ACAP3	anti tag coip	Homo sapiens
ACAP3	ACAP2	anti tag coip	Homo sapiens
ACAP3	ACAP2	anti tag coip	Homo sapiens
ACAP3	ACAP2	anti tag coip	Homo sapiens
LRRC8B	LRRC8A	anti tag coip	Homo sapiens
LRRC8A	LRRC8B	anti tag coip	Homo sapiens
LRRC8A	LRRC8B	anti tag coip	Homo sapiens
LRRC8B	LRRC8A	anti tag coip	Homo sapiens
PLOD1	PLOD2	anti tag coip	Homo sapiens
PLOD1	PLOD2	anti tag coip	Homo sapiens
PLOD1	PLOD2	anti tag coip	Homo sapiens
PLOD1	PLOD2	anti tag coip	Homo sapiens
YWHAE	SFN	anti tag coip	Homo sapiens
YWHAE	SFN	anti tag coip	Homo sapiens
ATF1	CREB1	tap	Homo sapiens
CREB1	ATF1	peptide array	Homo sapiens
ATF1	CREB1	peptide array	Homo sapiens
CREB1	ATF1	pull down	Homo sapiens
CREB1	ATF1	tap	Homo sapiens
CREB1	ATF1	tap	Homo sapiens
BNIP3	BNIP3L	bfg-2h	Homo sapiens
BNIP3	BNIP3L	validated two hybrid	Homo sapiens
BNIP3L	BNIP3	bfg-2h	Homo sapiens
BNIP3	BNIP3L	split luciferase complementation	Homo sapiens
BNIP3	BNIP3L	split luciferase complementation	Homo sapiens
BNIP3	BNIP3L	anti tag coip	Homo sapiens
BNIP3L	BNIP3	tap	Homo sapiens
BNIP3	BNIP3L	two hybrid array	Homo sapiens
BNIP3L	BNIP3	two hybrid prey pooling approach	Homo sapiens
BNIP3	BNIP3L	validated two hybrid	Homo sapiens
BNIP3L	BNIP3	two hybrid array	Homo sapiens
BNIP3L	BNIP3	validated two hybrid	Homo sapiens
BNIP3L	BNIP3	two hybrid prey pooling approach	Homo sapiens
BNIP3L	BNIP3	2 hybrid	Homo sapiens
BNIP3L	BNIP3	2 hybrid	Homo sapiens
BNIP3	BNIP3L	2 hybrid	Homo sapiens
BNIP3L	BNIP3	beta galactosidase	Homo sapiens
BNIP3L	BNIP3	anti tag coip	Homo sapiens
BNIP3	BNIP3L	2 hybrid	Homo sapiens
BNIP3L	BNIP3	two hybrid array	Homo sapiens
BNIP3L	BNIP3	two hybrid pooling	Homo sapiens
BNIP3	BNIP3L	anti tag coip	Homo sapiens
BNIP3	BNIP3L	anti tag coip	Homo sapiens
BNIP3	BNIP3L	two hybrid pooling	Homo sapiens
DNAJB4	DNAJB5	anti tag coip	Homo sapiens
DNAJB4	DNAJB5	anti tag coip	Homo sapiens
DNAJB4	DNAJB5	anti tag coip	Homo sapiens
NUCB1	NUCB2	anti tag coip	Homo sapiens
NUCB1	NUCB2	anti tag coip	Homo sapiens
MAPK8IP3	SPAG9	anti tag coip	Homo sapiens
PIP5K1A	PIP5K1C	anti tag coip	Homo sapiens
HOOK3	HOOK1	anti tag coip	Homo sapiens
HOOK3	HOOK1	validated two hybrid	Homo sapiens
HOOK3	HOOK1	two hybrid prey pooling approach	Homo sapiens
CTBP1	CTBP2	anti tag coip	Homo sapiens
CTBP1	CTBP2	two hybrid array	Homo sapiens
RUFY1	RUFY2	anti tag coip	Homo sapiens
RUFY2	RUFY1	anti tag coip	Homo sapiens
RUFY1	RUFY2	anti tag coip	Homo sapiens
RUFY1	RUFY2	anti tag coip	Homo sapiens
RUFY2	RUFY1	anti tag coip	Homo sapiens
ARHGAP26	ARHGAP10	anti tag coip	Homo sapiens
ARHGAP26	ARHGAP10	socioaffinity inference	Homo sapiens
ARHGAP26	ARHGAP10	anti tag coip	Homo sapiens
ARHGAP26	ARHGAP10	anti tag coip	Homo sapiens
RHOT2	RHOT1	anti tag coip	Homo sapiens
RHOT2	RHOT1	anti tag coip	Homo sapiens
SLC1A5	SLC1A4	anti tag coip	Homo sapiens
MOAP1	PNMA1	anti tag coip	Homo sapiens
MOAP1	PNMA1	anti tag coip	Homo sapiens
PNMA1	MOAP1	anti tag coip	Homo sapiens
STMN1	STMN3	anti tag coip	Homo sapiens
NFIB	NFIX	two hybrid array	Homo sapiens
NFIB	NFIX	validated two hybrid	Homo sapiens
NFIB	NFIX	two hybrid prey pooling approach	Homo sapiens
NFIB	NFIX	proximity-dependent biotin identification	Homo sapiens
NFIX	NFIB	proximity-dependent biotin identification	Homo sapiens
NFIB	NFIX	affinity chrom	Homo sapiens
NFIX	NFIB	affinity chrom	Homo sapiens
TSPAN5	TSPAN14	anti tag coip	Homo sapiens
RNF20	RNF40	molecular sieving	Homo sapiens
CARD16	CASP1	anti tag coip	Homo sapiens
NONO	PSPC1	anti tag coip	Homo sapiens
NONO	PSPC1	validated two hybrid	Homo sapiens
PSPC1	NONO	two hybrid prey pooling approach	Homo sapiens
PSPC1	NONO	two hybrid prey pooling approach	Homo sapiens
PSPC1	NONO	validated two hybrid	Homo sapiens
PSPC1	NONO	two hybrid array	Homo sapiens
NONO	PSPC1	two hybrid array	Homo sapiens
PSPC1	NONO	two hybrid array	Homo sapiens
PSPC1	NONO	two hybrid prey pooling approach	Homo sapiens
TRIB2	TRIB1	anti tag coip	Homo sapiens
TRIB2	TRIB1	anti tag coip	Homo sapiens
KCTD17	KCTD5	anti tag coip	Homo sapiens
KCTD17	KCTD5	anti tag coip	Homo sapiens
PLOD3	PLOD2	anti tag coip	Homo sapiens
PRDX3	PRDX2	socioaffinity inference	Homo sapiens
PRDX2	PRDX3	tap	Homo sapiens
RBM39	RBM23	2 hybrid	Homo sapiens
LMNB2	LMNB1	crosslink	Homo sapiens
LMNB1	LMNB2	two hybrid prey pooling approach	Homo sapiens
LMNB1	LMNB2	validated two hybrid	Homo sapiens
LMNB1	LMNB2	two hybrid array	Homo sapiens
EAF1	EAF2	anti tag coip	Homo sapiens
STT3B	STT3A	anti tag coip	Homo sapiens
CLTA	CLTB	socioaffinity inference	Homo sapiens
CLTB	CLTA	anti tag coip	Homo sapiens
CLTA	CLTB	anti tag coip	Homo sapiens
FMR1	FXR1	2h fragment pooling	Homo sapiens
FNBP1L	FNBP1	anti tag coip	Homo sapiens
FNBP1	FNBP1L	anti tag coip	Homo sapiens
MTSS2	MTSS1	anti tag coip	Homo sapiens
COPS7B	COPS7A	anti tag coip	Homo sapiens
PIAS2	PIAS1	pla	Homo sapiens
STAM	STAM2	anti tag coip	Homo sapiens
STAM2	STAM	anti tag coip	Homo sapiens
STAM	STAM2	anti tag coip	Homo sapiens
ARFGAP2	ARFGAP3	anti tag coip	Homo sapiens
PSMB9	PSMB6	anti tag coip	Homo sapiens
TPD52	TPD52L1	2 hybrid	Homo sapiens
TPD52L1	TPD52	2 hybrid	Homo sapiens
TPD52L1	TPD52	2 hybrid	Homo sapiens
TPD52	TPD52L1	anti tag coip	Homo sapiens
TPD52	TPD52L1	anti tag coip	Homo sapiens
TPD52L1	TPD52	anti tag coip	Homo sapiens
TPD52	TPD52L1	validated two hybrid	Homo sapiens
TPD52	TPD52L1	two hybrid prey pooling approach	Homo sapiens
TPD52	TPD52L1	two hybrid array	Homo sapiens
SRSF5	SRSF6	socioaffinity inference	Homo sapiens
ARFIP2	ARFIP1	anti tag coip	Homo sapiens
ARFIP2	ARFIP1	validated two hybrid	Homo sapiens
ARFIP1	ARFIP2	two hybrid prey pooling approach	Homo sapiens
ARFIP1	ARFIP2	two hybrid array	Homo sapiens
